sector,stock,annual_return,annual_risk,training_days
Auto,Maruti Suzuki,0.18146895782419772,0.2380932105295906,1242
Auto,Mahindra & Mahindra,0.41398894384291807,0.29249567485407263,1242
Auto,Tata Motors,0.45667667610055873,0.37484222325915717,1242
Auto,Hero MotoCorp,0.14982008678349162,0.2612722347438818,1242
Auto,Eicher Motors,0.2631100450236488,0.27339331276970136,1242
Auto,Bharat Forge,0.32969740111992635,0.33805046793961835,1242
Auto,Balkrishna Industries,0.17661631776837275,0.30150510986866774,1242
Auto,Ashok Leyland,0.41446312114087136,0.35185804052712727,1242
Auto,MRF,0.18234788485581624,0.23613503745040493,1242
Banking,HDFC Bank,0.14889567645917756,0.22271982024824752,1242
Banking,ICICI Bank,0.30829795705650626,0.24495975153175464,1242
Banking,Kotak Mahindra Bank,0.12564984079317093,0.246292015517605,1242
Banking,Axis Bank,0.24260768078508402,0.2738011646428885,1242
Banking,State Bank of India,0.34064865594647636,0.2837639586489092,1242
Banking,IndusInd Bank,0.18979000954695743,0.3809984972562124,1242
Banking,AU Small Finance Bank,0.2836894155305001,0.3662526209324266,1242
Banking,Bandhan Bank,-0.037964773295941834,0.37763675205647124,1242
Banking,Federal Bank,0.3269325304725162,0.3095243467651908,1242
Banking,IDFC First Bank,0.263734327321154,0.3458349396622043,1242
Consumer Durable,Titan,0.3044638577867314,0.24920068398745573,1242
Consumer Durable,Crompton,0.1280033975399264,0.3106242725219505,1242
Consumer Durable,Havells,0.23888251776697084,0.27911543626202795,1242
Consumer Durable,Voltas,0.22510154315422234,0.30636226434732156,1242
Consumer Durable,Dixon,0.5923524882816457,0.3972681717814087,1242
Consumer Durable,Bata India,0.019754117281250826,0.24626067747306246,1242
Consumer Durable,Relaxo,-0.04016020979429834,0.25917133888647476,1242
Consumer Durable,Kajaria,0.25190802363965253,0.31119883152612954,1242
Consumer Durable,Rajesh Exports,-0.09584812215014853,0.3859441339498041,1242
Consumer Durable,Whirlpool,-0.028377685232188324,0.3113344031842049,1242
FMCG,ITC,0.19624007312189612,0.215069624811219,1242
FMCG,Nestle India,0.09418347563358953,0.18721938954437392,1242
FMCG,Tata Consumer,0.24463776674363952,0.24973719898301894,1242
FMCG,Britannia,0.12043367120568411,0.20157863272254029,1242
FMCG,Dabur,0.02924784340943699,0.20751065656843173,1242
FMCG,Godrej Consumer,0.1442441462544011,0.2790196325920479,1242
FMCG,Marico,0.1721034616777795,0.23379165055999768,1242
FMCG,Jubilant Foodworks,0.20016708451465762,0.3274783429018621,1242
FMCG,Colgate-Palmolive,0.13622350157566268,0.21700441620087715,1242
Healthcare,Sun Pharma,0.28265456072546274,0.22746074742662062,1242
Healthcare,Dr Reddy's,0.12655535716640495,0.23078786626386824,1242
Healthcare,Divi's,0.2648338641249406,0.28429708999084385,1242
Healthcare,Cipla,0.20677457673927166,0.25035836405979756,1242
Healthcare,Apollo Hospitals,0.386069857632328,0.29884786040830313,1242
Healthcare,Lupin,0.19598165754538036,0.29304948049224133,1242
Healthcare,Aurobindo Pharma,0.12296976644563112,0.3095413708925786,1242
Healthcare,Laurus Labs,0.4593883279655981,0.3775712909548081,1242
Healthcare,Biocon,0.03470045224420061,0.3225619661490994,1242
Healthcare,Zydus Life,0.24764869391333,0.2750429450905991,1242
IT,Infosys,0.18751568394562113,0.24224672681671008,1242
IT,TCS,0.1235478995859666,0.21264882330906892,1242
IT,Tech Mahindra,0.2778682009485471,0.28620888433061337,1242
IT,Wipro,0.21990761531683725,0.27384982945208247,1242
IT,HCL Tech,0.26218199736891096,0.2519040578382796,1242
IT,LTIMindtree,0.2572004413854182,0.3304731165268011,1242
IT,Mphasis,0.3101255854879193,0.35024745408879154,1242
IT,Coforge,0.46150288190882105,0.37879229935634795,1242
IT,OFSS,0.31141467135556505,0.3415750507247581,1242
Metal,Tata Steel,0.41298577081099125,0.3553341379150649,1242
Metal,JSW Steel,0.38419805805335755,0.3086407977231044,1242
Metal,Adani Enterprises,0.7095537425225004,0.5290170384956995,1242
Metal,Vedanta,0.44536398783114484,0.4383005857371495,1242
Metal,Coal India,0.27162471613290173,0.30480101331350695,1242
Metal,NMDC,0.5578796450093396,0.5956754705860553,1242
Metal,Jindal Steel,0.4429884051853936,0.3944785070517433,1242
Metal,APL Apollo,0.5512180960220552,0.38408002889596615,1242
